Genus,type,proportion_of_CDS_per_region,proportion_of_TE_per_region
Rosa,inv_breakpoints,0.1731114864864865,0.23074155405405405
Rosa,random_4k,0.12558996428571428,0.41643685714285716
Rubus,alignable_random_4k,0.17322942563223317,0.2079152021717388
Rubus,inv_breakpoints,0.22653571428571428,0.128025
Rubus,random_4k,0.1545427857142857,0.23115589285714286
Salix,alignable_random_4k,0.1253871842105263,0.1859451447368421
Salix,inv_breakpoints,0.2605353009259259,0.07261979166666667
Salix,random_4k,0.13164536842105262,0.16502923684210527
Salvia,alignable_random_4k,0.09728046875,0.3782854375
Salvia,inv_breakpoints,0.084556640625,0.3679296875
Salvia,random_4k,0.092699718749999993,0.363737625
Solanum,alignable_random_4k,0.037812713559463286,0.5373308400700059
Solanum,inv_breakpoints,0.26003821656050957,0.09328662420382165
Solanum,random_4k,0.042215645833333336,0.5150748125
Vaccinium,alignable_random_4k,0.06811390532544379,0.06247749812484374
Vaccinium,inv_breakpoints,0.12299880952380952,0.04675297619047619
Vaccinium,random_4k,0.06341633333333334,0.071333625
Vigna,alignable_random_4k,0.0747553186653332,0.3487107691608328
Vigna,inv_breakpoints,0.27064375,0.074884375
Vigna,random_4k,0.07972181818181819,0.3343088181818182
Vitis,alignable_random_4k,0.08008668877309331,0.19316357439865256
Vitis,inv_breakpoints,0.061984177215189874,0.21501107594936708
Vitis,random_4k,0.07596497184062319,0.20294606295068163
